publisherID,contactID,title,uniqueKey,description,metaDescription,applicationName,taskUrl,status,authenticated,displayVersion,imageSetId,largeIcon,categoryId,markets,roleId,releaseNotes,,,
1361,1079,Pulsefeedz,pulsefeedz,The heartbeat of campus news! Pulsefeedz covers what's trending at #UMD as well as other college campuses nationwide.,Follow Pulsefeedz if you're interested in all things UMD.,,http://pulsefeedz.com,Active,None,1.0.0,3637,null," 1387, 1389, 1390, 1392, 1393, 1394, 1396",1095,1047,1.0.0,,,
1361,1080,University of Maryland CHAARG,chaarg,"Join CHAARG + you‰Ûªre instantly part of an empowering group of women igniting fitness and positivity into all of their members. You will have access to incredible workout classes + more importantly -- you will be immersed in a positive + encouraging community, filled with women just as passionate about health + fitness as you! ",Join CHAARG + you‰Ûªre instantly part of an empowering group of women igniting fitness and positivity into all of their members.,,http://shop.chaarg.com/collections/chaarg-memberships/products/umd-chaarg,Active,None,1.0.0,3637,null," 1387, 1390, 1396",1095,1047,1.0.0,,,
1361,1079,The Society of Hispanic Professional Engineers,shpe,"SHPE granted a chapter to UMCP in May 1988 to a group of 27 Hispanic students. Since then, SHPE-UMD chapter has been an organization of diverse students in engineering and science at the University of Maryland. SHPE strives to support the professional growth, the development of social responsibility, the assurance of educational opportunities for students as well as long-term achievements of Hispanic self-determination and self-actualization. SHPE-UMD's goal is to assist students in all engineering and science fields with their academic and professional development.",SHPE-UMD's goal is to assist students in all engineering and science fields with their academic and professional development.,,http://shpe.umd.edu,Active,None,1.0.0,3637,null,"1383,  1386, 1387, 1389, 1390, 1394, 1395, 1396, 1397, 1398, 1399, 1400",1095,1047,1.0.0,,,
1361,1961,Sisterhood of Unity and Love,soul,"The Sisterhood of Unity & Love (S.O.U.L) at UMCP are dedicated to the development & betterment of Black women. They are devoted to our Black female community, we want to provide them with the opportunity to learn, know, appreciate and understand our culture and our everyday experiences.",We are the Sisterhood of Unity & Love (S.O.U.L) at UMCP dedicated to the development & betterment of Black women. Join us today! ,,http://soulumd.blogspot.com,Active,None,1.0.0,3637,null,"1386, 1387, 1390, 1395, 1396",1095,1047,1.0.0,,,
1361,1260,The First-Year Innovation & Research Experience,fireprogram,"The First-Year Innovation & Research Experience provides first-year students authentic research experience, broad mentorship and institutional connections that impact academic success, personal resilience and professional development.","If you are interested in getting research experience during your freshman year, check out F.I.R.E. today!",,http://t.co/DjtoqJYm7l,Active,None,1.0.0,3537,null," 1387, 1392 1395, 1400",1094,1047,1.0.0,,,
1361,1079,Terrpain Row,terrapinrow,"Introducing Terrapin Row, the brand new student residences created around the way you want to live today. Definitely convenient, decidedly cool, Terrapin Row is your place to study, socialize, or just be you.",Looking for off-campus housing located very close to campus? Check out Terrapin Row today!,,http://terrapinrow.com,Active,None,1.0.0,3641,null,"1383, 1388, 1395",1099,1047,1.0.0,,,
1361,1086,Phi Beta Sigma Fratnernity,phibetasigma,"Wrecking havoc on the home of the Terrapins since the 70s, Phi Beta Sigma is a fraternal organization focused on the ideals of Brotherhood, Scholarship and Service. They have events all year that center around our mission. ","If you're interested in historically black brotherhood, come to a Phi Beta Sigma  event and inquire further!",,http://thebodychapter-epsi.weebly.com/glorious-e-psi.html,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1079,TerpZone,terpzone,"The TerpZone welcomes anyone from students and faculty to alumni and visitors to enjoy everything the facility offers, including (8) Brunswick Bowling Lanes, (10) Gold Crown 9' Billiard Tables, Video Arcade Games and a Lounge Area with (1) 120 Projection Screen TV & (4) 50" Plasma TVs."""he TerpZone w",Looking for something fun to do on campus? Come to TerpZone for some classic fun and an amazing atmosphere!,,http://thestamp.umd.edu/terpzone,Active,None,1.0.0,3635,null,"1396, 1395",1101,"1045, 1081, 1046, 1047 1082",1.0.0,,,
1361,1079,Terp Vets,terpvets,Terp Vets is a student run organization established to provide its members the opportunity to recognize and support the community of veterans on and off campus through a variety of volunteer and social events while building a network that enhances personal and career growth.,"If you're looking for an organization to support veterans, check out Terp Vets!",,http://thestamp.umd.edu/veteran_student_life/terp_vets,Active,None,1.0.0,3637,null," 1386, 1387, 1390, 1395, 1396",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1079,Undergraduate Communication Association,undergraduatecommunicationassociation,"The Undergraduate Communication Association is a student-run organization at the University of Maryland, College Park. Go through their website to learn about their executive board members, see upcoming events and add your name to the growing list of UCA members. UCA is an excellent opportunity to get involved on campus and can offer incredible experiences for anyone interested in communication! ","The Undergraduate Communication Association is a student-run organization at the University of Maryland, College Park. ",,http://ucamaryland.weebly.com,Active,None,1.0.0,3644,null," 1387, 1390, 1396",1102,1047,1.0.0,,,
1361,1086,Beta Theta Pi Fraternity,betathetapi,Beta Theta Pi aims to develop Men of Principle for a Principled Life. ,Beta Theta Pi aims to develop Men of Principle for a Principled Life. ,,http://umd.beta.org,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1079,University of Maryland Student Government Association Sustainability Committee,umdsgasustainability,The UMD Student Government Association committee is dedicated to making our campus as sustainable and environmentally responsible as possible. ,"The Student Sustainability Committee (SSC) is a committee of the University of Maryland's undergraduate Student Government Association (SGA). SSC advises the SGA and University administration to ensure that environmental sustainability remains a campus-wide focus. SSC works on environmental issues on campus, in the community and even in the state. Historically, we've worked on initiatives related to transportation, water and energy use, food and resources consumption, development and landscape planning, environmental education, and beyond. We're always open to new initiatives, so if you've got an idea, we want to hear it! Though, SSC is not all about work. We believe that the best way to create change is to have fun in the process. So beyond all the various intiatives we work on, we get together for group hikes, camping trips, picnics, bike rides, and more. Being a part of SSC, is not just being a part of a campus committee, its being a part of a community. ",,http://umdsgassc.wix.com/umdssc,Active,None,1.0.0,3637,null," 1386, 1387, 1390, 1394, 1395, 1396",1095,1047,1.0.0,,,
1361,1079,University View Apartments,universityview,"College is the time to turn it up. To be bold. To roll deep. Next-level your lifestyle at our vibrant student apartments in College Park, situated moments from the University of Maryland. Voted as the Best Place to Live Off Campus by students four years in a row, our one-of-a-kind community offers the ultimate college experience. Shuttle service and a scenic walking bridge to campus makes it quick and easy to get to class. Game rooms, fitness centers, and a 4th floor pool with views for miles make it easy to relax afterwards. Fully-furnished homes are stacked with features that simplify the struggle, including dishwashers, flat screen TVs, and private bathrooms for every roommate. The time is now. The place is here. And the star of the show is you. Make your home at University View.",Looking for off-campus housing? Check out The University View today!,,http://uviewapts.com,Active,None,1.0.0,3641,null,"1383, 1388, 1395",1099,1047,1.0.0,,,
1361,1079,WMUC 88.1 FM,wmuc,WMUC 88.1 FM is a student-run radio station of the University of Maryland. They offer WMUC-FM and WMUC-Digital programming throughout the entirety of the year. College radio=Good radio!,Support a student-run radio station,,http://wmuc.umd.edu,Active,None,1.0.0,3637,null,1390,1095,1047,1.0.0,,,
1361,1964,The University of Maryland Observatory,umdobservatory,The primary focus of the Observatory is education and public outreach. They hold public Open Houses on the 5th and 20th of every month. Nov-Apr: 8pm. May-Oct: 9pm.,The primary focus of the Observatory is education and public outreach.,,http://www.astro.umd.edu/openhouse/,Active,None,1.0.0,3637,null," 1387, 1390, 1396",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1957,College Park Aviation Museum,cpaviationmuseum,"The College Park Aviation Museum is dedicated to preserving and promoting aviation innovations at College Park Airport and in Prince George‰Ûªs County while fostering research, inventiveness, and lifelong curiosity about the history and science of flight.","If you're looking for a fun event to do off of campus, visit the College Park Aviation Museum!",,http://www.collegeparkaviationmuseum.com/home.htm,Active,None,1.0.0,3637,null,"1396, 1397, 1394, 1387, 1399",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1958,Herbert Wells Ice Rink,icerink,"The Herbert Wells Ice Rink is an amazing option if you're looking to go have a good time in the College Park area. The ice rink's amenities include a changing area, showers, locker rooms, a vending area, a warming hut with a fireplace, and a party room by rental. ","Whether it's raining or sunny outside, the Herbert Wells Ice Rink is the perfect place to go have a good time while being active!",,http://www.pgparks.com/Things_To_Do/Sports/Ice_Skating/Herbert_Wells_Ice_Rink.htm,Active,None,1.0.0,3635,null,1396,1101,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1086,Phi Kappa Psi Gamma Chapter ,phikappapsi,"Phi Kappa Psi Gamma Chapter is an association of men of integrity who strive to develop the individual in his intellect, in his involvement in the community, and in his faith. Recognizing and valuing the diversity of all, the Fraternity unites the principals and traditions of our past with the resources and creativity of our present to provide an environment in which our members can realize their highest potential. To this end, we offer a lifelong experience, guided by our faith in a power greater than ourselves, in contributing to the betterment of both the individual and the community.","The Phi Kappa Psi Gamma Chapter offers a lifelong experience, guided by our faith in a power greater than ourselves.",,http://www.phipsiumd.com,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1086,Pi Kappa Alpha Fraternity,pikappaalpha,"Pi Kappa Alpha has remained dedicated to developing men of integrity, intellect, success and high moral character, and to fostering a truly lifelong fraternal experience.","Pi Kappa Alpha is dedicated to developing men of integrity, intellect, and high moral character and to fostering a truly lifelong fraternal experience.",,http://www.pikes.org/,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1079,Student Entertainment Events,see,"Student Entertainment Events (SEE) is the principal student programming board responsible for producing and supporting campus events that entertain, enhance, and inspire a diverse campus culture.","If you want to catch a recently released movie for free, attend a comedy performance, or experience a concert with some of the biggest artists of our time, check out SEE!",,http://www.see.umd.edu,Active,None,1.0.0,3635,null,1396,1101,"1047, 1082",1.0.0,,,
1361,1086,Sigma Phi Epsilon Maryland Beta Chapter,sigmaphiepsilon,"Since its founding in 1901 at Richmond College, Sigma Phi Epsilon has been teaching men across the country to live by its Cardinal Principles of Virtue, Diligence, and Brotherly Love, and to strive to become balanced through practices of Sound Mind and Sound Body. SigEp now has chapters at nearly 250 schools, making it one of the largest fraternities in the nation. A member of SigEp has many tremendous opportunities to grow as a leader, a professional, and an individual through SigEp's many leadership programs, one of the largest alumni networks in the country, and an incredibly strong bond of brotherhood.","If you are interested in joining SigEp, check out the Sigma Phi Epsilon website to learn more information about our rush schedule and new member program.",,http://www.sigepumd.com,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1079,The Domain,thedomain,"Why not now? Voted Best Mid-Rise Apartment - Mid-Atlantic 2013, Domain College Park caters to a high-end, all-in lifestyle that isn‰Ûªt content to wait for the good life to eventually show up. At Domain College Park apartment homes, high tone amenities are a given. From the world-class fitness center and resort-style pool, to the outdoor grilling area, cush lounge, concierge service, and tech-savvy business center, you‰Ûªre covered. Close to the UMD campus, Domain College Park is conveniently located, stylish living. Come see for yourself by scheduling an appointment today.",Looking for off-campus housing located on campus? Check out The Domain today!,,http://www.udr.com/washington-dc-apartments/college-park/domain-college-park/,Active,None,1.0.0,3641,null,"1383, 1388, 1395",1099,1047,1.0.0,,,
1361,1080,The University of Maryland Track and Field Team,trackandfield,Come support our Maryland Track and Field team and exude Maryland Pride!,Come support our Maryland Track and Field team and exude Maryland Pride!,,http://www.umterps.com/SportSelect.dbml?&DB_OEM_ID=29700&SPID=120718&SPSID=716354,Active,None,1.0.0,3637,null," 1396, 1390",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1080,Maryland Women's Tennis,womenstennis,Stay up to date on the Maryland Women's Tennis Team!,"If you are interested in Maryland's Women's Tennis Team, then keep up with them on their website!",,http://www.umterps.com/SportSelect.dbml?&DB_OEM_ID=29700&SPID=120722&SPSID=716376,Active,None,1.0.0,3637,null,1396,1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1080,The University of Maryland Men's Soccer Team,menssoccer,Come support our Maryland Men's Soccer team and exude Maryland Pride!,Come support our Maryland Men's Soccer team and exude Maryland Pride!,,http://www.umterps.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=29700&SPID=120714&SPSID=716334,Active,None,1.0.0,3637,null," 1396, 1390",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1080,The University of Maryland Women's Lacrosse Team,womenslax,Come support our Maryland Women's Lacrosse team and exude Maryland Pride!,Come support our Maryland Women's Lacrosse team and exude Maryland Pride!,,http://www.umterps.com/SportSelect.dbml?DB_OEM_ID=29700&SPID=120734&SPSID=716407&DB_OEM_ID=29700,Active,None,1.0.0,3637,null," 1396, 1390",1095,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1189,The Pride,thepride,"The Pride is the official student fan organization of Maryland Athletics. We aim to promote school spirit by enhancing the atmosphere at all University of Maryland athletic events, at home and on the road.","If you're interested in supporting UMD athletics, join The Pride today!",,http://www.umterps.com/SportSelect.dbml?DB_OEM_ID=29700&SPID=176109&SPSID=1038110&KEY=,Active,None,1.0.0,3635,null,"1396, 1385",1101,1047,1.0.0,,,
1361,1079,University Club Apartments,universityclub,"Live like you mean it at University Club at College Park, the best in University of Maryland off campus housing! At University Club, you will have the privacy and way of life you deserve in an UMD off campus housing community that was built especially with the college student in mind. Have everything you want in one place by taking advantage of our convenient location and great amenities! Located close to Route 1, we are within walking distance of campus and close to restaurants, shopping and nightlife! You will enjoy our many amenities including a fitness center, FREE tanning bed, laundry facilities on every floor, clubhouse with WiFi, and much more. University Club apartments in College Park also offer fully furnished apartments in three different floor plans. Individual lease responsibly, high-speed internet and cable are included in the rent. Our professional on-site staff is dedicated to serving your needs and arranging resident events to help you get the most out of your college experience. College Park apartments don‰Ûªt get any better than this!",Looking for off-campus housing located very close to campus? Check out The University Club today!,,http://www.universityclubatcollegepark.com,Active,None,1.0.0,3641,null,"1383, 1388, 1395",1099,1047,1.0.0,,,
